physical_time,tau_from_H0,k,rms,series
0.001,0.0,0.06283185307179587,0.010351168090412694,L10_continuous_numeric
0.001,0.0,0.12566370614359174,0.019368502549182418,L10_continuous_numeric
0.001,0.0,0.18849555921538758,0.028410252785216736,L10_continuous_numeric
0.001,0.0,0.25132741228718347,0.036511783495599824,L10_continuous_numeric
0.001,0.0,0.3141592653589793,0.04394212274554825,L10_continuous_numeric
0.001,0.0,0.37699111843077515,0.054748889270784355,L10_continuous_numeric
0.001,0.0,0.43982297150257105,0.06440212803178995,L10_continuous_numeric
0.001,0.0,0.5026548245743669,0.07214998590687498,L10_continuous_numeric
0.001,0.0,0.5654866776461628,0.07674827444328262,L10_continuous_numeric
0.001,0.0,0.6283185307179586,0.0872690686405861,L10_continuous_numeric
0.001,0.0,0.6911503837897545,0.09998732545759374,L10_continuous_numeric
0.001,0.0,0.7539822368615503,0.10846533710013997,L10_continuous_numeric
0.001,0.0,0.8168140899333463,0.11946374204508035,L10_continuous_numeric
0.001,0.0,0.8796459430051421,0.12494544830300976,L10_continuous_numeric
0.001,0.0,0.9424777960769378,0.13858083681877542,L10_continuous_numeric
0.001,0.0,1.0053096491487339,0.14294072028030094,L10_continuous_numeric
0.001,0.0,1.0681415022205298,0.15695239316557205,L10_continuous_numeric
0.001,0.0,1.1309733552923256,0.16607074597638677,L10_continuous_numeric
0.001,0.0,1.1938052083641213,0.16996364140793582,L10_continuous_numeric
0.001,0.0,1.2566370614359172,0.17758545656130933,L10_continuous_numeric
0.001,0.0,1.3194689145077132,0.18661844178952472,L10_continuous_numeric
0.001,0.0,1.382300767579509,0.19715335301545084,L10_continuous_numeric
0.001,0.0,1.4451326206513047,0.2103451099081763,L10_continuous_numeric
0.001,0.0,1.5079644737231006,0.21110028669786007,L10_continuous_numeric
0.001,0.0,1.5707963267948966,0.22490962515470642,L10_continuous_numeric
0.001,0.0,1.6336281798666925,0.22671303075823465,L10_continuous_numeric
0.001,0.0,1.6964600329384882,0.24443073342231394,L10_continuous_numeric
0.001,0.0,1.7592918860102842,0.2505804572666774,L10_continuous_numeric
0.001,0.0,1.8221237390820801,0.25903448843471805,L10_continuous_numeric
0.001,0.0,1.8849555921538756,0.270227748728222,L10_continuous_numeric
0.001,0.0,1.9477874452256716,0.27888497310382165,L10_continuous_numeric
0.001,0.0,2.0106192982974678,0.28075844896170615,L10_continuous_numeric
0.001,0.0,2.0734511513692637,0.28874140524728703,L10_continuous_numeric
0.001,0.0,2.1362830044410597,0.30516549731500253,L10_continuous_numeric
0.001,0.0,2.199114857512855,0.30619945288940204,L10_continuous_numeric
0.001,0.0,2.261946710584651,0.3182357614451809,L10_continuous_numeric
0.001,0.0,2.324778563656447,0.3308538829203318,L10_continuous_numeric
0.001,0.0,2.3876104167282426,0.3390185904702022,L10_continuous_numeric
0.001,0.0,2.4504422698000385,0.3423448726099302,L10_continuous_numeric
0.001,0.0,2.5132741228718345,0.35120731812696276,L10_continuous_numeric
0.001,0.0,2.57610597594363,0.3679347300016503,L10_continuous_numeric
0.001,0.0,2.6389378290154264,0.3681366582254127,L10_continuous_numeric
0.001,0.0,2.701769682087222,0.37108675961390697,L10_continuous_numeric
0.001,0.0,2.764601535159018,0.3788423124030782,L10_continuous_numeric
0.001,0.0,2.827433388230814,0.3977940176787827,L10_continuous_numeric
0.001,0.0,2.8902652413026093,0.4005232372931184,L10_continuous_numeric
0.001,0.0,2.9530970943744057,0.4048912233145483,L10_continuous_numeric
0.001,0.0,3.015928947446201,0.4157777294455386,L10_continuous_numeric
0.001,0.0,3.078760800517997,0.4264698378442944,L10_continuous_numeric
